dataset,seed_no,measurement_type,measurement_num,EXTREME_pixel_observe,measurement_loss,MSE_loss,noise,round
mnist,2024,gaussian_block_adaptive,10,NA,22.399292274373945,0.04769712740386717,0_0,0
mnist,2024,gaussian_block_adaptive,10,NA,35.118973965252856,0.07735970895712316,0_0,1
mnist,2024,gaussian_block_adaptive,10,NA,18.618349645326212,0.08183796498236418,0_0,2
mnist,2024,gaussian_block_adaptive,20,NA,21.528207495207536,0.03995451185533465,0_0,0
mnist,2024,gaussian_block_adaptive,20,NA,67.5359901830967,0.06331356305708748,0_0,1
mnist,2024,gaussian_block_adaptive,20,NA,59.00147546198923,0.027595055879716678,0_0,2
mnist,2024,gaussian_block_adaptive,30,NA,28.105163792986488,0.03502347166893728,0_0,0
mnist,2024,gaussian_block_adaptive,30,NA,35.51670621512164,0.0318271222722128,0_0,1
mnist,2024,gaussian_block_adaptive,30,NA,19.338262593888082,0.023158261447944604,0_0,2
mnist,2024,gaussian_block_adaptive,40,NA,17.445344292323398,0.014250112811443755,0_0,0
mnist,2024,gaussian_block_adaptive,40,NA,41.09648771462705,0.021819873141514207,0_0,1
mnist,2024,gaussian_block_adaptive,40,NA,69.1883816573423,0.09275027774934506,0_0,2
mnist,2024,gaussian_block_adaptive,50,NA,24.977348183721936,0.04277455104218457,0_0,0
mnist,2024,gaussian_block_adaptive,50,NA,83.12444985261129,0.06863045680448497,0_0,1
mnist,2024,gaussian_block_adaptive,50,NA,65.93413602095953,0.03585091718451803,0_0,2
mnist,2024,gaussian_block_adaptive,10,NA,24.388449085090638,0.09747450095351001,0_1,0
mnist,2024,gaussian_block_adaptive,10,NA,13.580032226544242,0.10048171284683677,0_1,1
mnist,2024,gaussian_block_adaptive,10,NA,29.532471327083147,0.0665402862541812,0_1,2
mnist,2024,gaussian_block_adaptive,20,NA,24.667541618374294,0.03932702928621051,0_1,0
mnist,2024,gaussian_block_adaptive,20,NA,77.7182592936252,0.05287886385827406,0_1,1
mnist,2024,gaussian_block_adaptive,20,NA,26.352696075007856,0.047739573659588905,0_1,2
mnist,2024,gaussian_block_adaptive,30,NA,43.58133621500533,0.053973640746370684,0_1,0
mnist,2024,gaussian_block_adaptive,30,NA,75.72088694296892,0.056984812858551406,0_1,1
mnist,2024,gaussian_block_adaptive,30,NA,52.347118081941964,0.061541416901764054,0_1,2
mnist,2024,gaussian_block_adaptive,40,NA,29.99842805542235,0.02294334928293276,0_1,0
mnist,2024,gaussian_block_adaptive,40,NA,71.99434741004059,0.02939634370041631,0_1,1
mnist,2024,gaussian_block_adaptive,40,NA,27.614387656761245,0.015757145047750307,0_1,2
mnist,2024,gaussian_block_adaptive,50,NA,28.40230865756282,0.044502276912738496,0_1,0
mnist,2024,gaussian_block_adaptive,50,NA,79.01913681518216,0.05453742155401773,0_1,1
mnist,2024,gaussian_block_adaptive,50,NA,57.984839605566656,0.032702009772424226,0_1,2
mnist,2024,gaussian_block_adaptive,10,NA,26.669388085429272,0.039526305116866084,0_5,0
mnist,2024,gaussian_block_adaptive,10,NA,31.276008315280926,0.06623319387693258,0_5,1
mnist,2024,gaussian_block_adaptive,10,NA,24.250899839221514,0.09614691393319798,0_5,2
mnist,2024,gaussian_block_adaptive,20,NA,12.317195919729047,0.01831098874811708,0_5,0
mnist,2024,gaussian_block_adaptive,20,NA,75.65831288571603,0.05849970707170542,0_5,1
mnist,2024,gaussian_block_adaptive,20,NA,19.570561907930863,0.05081712081678474,0_5,2
mnist,2024,gaussian_block_adaptive,30,NA,24.827582574148003,0.02435132837952324,0_5,0
mnist,2024,gaussian_block_adaptive,30,NA,32.53044469267772,0.016484164790265425,0_5,1
mnist,2024,gaussian_block_adaptive,30,NA,49.554123650625044,0.0369687559292756,0_5,2
mnist,2024,gaussian_block_adaptive,40,NA,27.93722561311041,0.04398573834581165,0_5,0
mnist,2024,gaussian_block_adaptive,40,NA,104.00117655768204,0.06719032201282171,0_5,1
mnist,2024,gaussian_block_adaptive,40,NA,23.25156838883659,0.02545705951755874,0_5,2
mnist,2024,gaussian_block_adaptive,50,NA,15.99195483461599,0.013339415926265277,0_5,0
mnist,2024,gaussian_block_adaptive,50,NA,72.53715283324007,0.04982452466158949,0_5,1
mnist,2024,gaussian_block_adaptive,50,NA,31.460073571222015,0.01670954845289595,0_5,2
mnist,2024,gaussian_block_adaptive,10,NA,52.18132181596864,0.12278431770476816,1_5,0
mnist,2024,gaussian_block_adaptive,10,NA,36.21149342909381,0.08442228514607698,1_5,1
mnist,2024,gaussian_block_adaptive,10,NA,22.400858271470348,0.01285558417374324,1_5,2
mnist,2024,gaussian_block_adaptive,20,NA,23.106161166426393,0.044212213555875235,1_5,0
mnist,2024,gaussian_block_adaptive,20,NA,84.33631632602653,0.04768345273950943,1_5,1
mnist,2024,gaussian_block_adaptive,20,NA,28.591308163240825,0.07807839158024402,1_5,2
mnist,2024,gaussian_block_adaptive,30,NA,34.747039889814936,0.03006595876731747,1_5,0
mnist,2024,gaussian_block_adaptive,30,NA,64.0298750498132,0.16365060527147035,1_5,1
mnist,2024,gaussian_block_adaptive,30,NA,23.006625163158557,0.022705103237884487,1_5,2
mnist,2024,gaussian_block_adaptive,40,NA,36.78390403568134,0.03873624113294131,1_5,0
mnist,2024,gaussian_block_adaptive,40,NA,36.71714599457343,0.016908015399038585,1_5,1
mnist,2024,gaussian_block_adaptive,40,NA,37.32938734317,0.018571519110401925,1_5,2
mnist,2024,gaussian_block_adaptive,50,NA,48.20139636180957,0.054285046726502334,1_5,0
mnist,2024,gaussian_block_adaptive,50,NA,72.34396706167703,0.060640517179784394,1_5,1
mnist,2024,gaussian_block_adaptive,50,NA,89.77458827921659,0.03691179810391288,1_5,2
mnist,2024,gaussian_block_adaptive,10,NA,43.586503765750884,0.09008091162646345,5_0,0
mnist,2024,gaussian_block_adaptive,10,NA,34.99607911736568,0.07136064307852798,5_0,1
mnist,2024,gaussian_block_adaptive,10,NA,59.321042842916185,0.0698378822443839,5_0,2
